time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-11-13T01:07:20.030Z,36.7924995,-121.5220032,6.47,2.83,md,58,46,0.02995,0.17,nc,nc73481116,2020-11-13T03:36:02.403Z,"6km SSE of San Juan Bautista, CA",earthquake,0.22,0.57,0.16,71,automatic,nc,nc
2020-11-12T17:11:47.880Z,38.1638,-118.1066,4.7,2.8,ml,30,71.97,0.043,0.1353,nn,nn00782850,2020-11-12T21:55:23.040Z,"25 km S of Mina, Nevada",earthquake,,1.3,0.41,15,reviewed,nn,nn
2020-11-12T14:55:31.990Z,34.685,-116.3078333,4.75,2.65,ml,72,32,0.1289,0.15,ci,ci39463231,2020-11-12T18:08:06.300Z,"14km WSW of Ludlow, CA",earthquake,0.09,0.37,0.215,25,reviewed,ci,ci
2020-11-12T07:28:23.096Z,38.1627,-118.1086,4.6,2.9,ml,33,42.38,0.045,0.1369,nn,nn00782794,2020-11-12T17:10:34.399Z,"25 km S of Mina, Nevada",earthquake,,1.6,0.4,17,reviewed,nn,nn
2020-11-11T22:02:55.411Z,39.0034,-118.8007,0,2.8,ml,16,71.2,0.343,0.1022,nn,nn00782757,2020-11-12T22:01:13.213Z,"5 km N of Schurz, Nevada",earthquake,,0,0.48,6,reviewed,nn,nn
2020-11-11T20:48:32.980Z,36.8045006,-121.5313339,6.42,2.96,md,64,45,0.02638,0.16,nc,nc73480556,2020-11-12T19:11:57.040Z,"5km S of San Juan Bautista, CA",earthquake,0.22,0.52,0.15,84,automatic,nc,nc
2020-11-11T20:26:59.440Z,36.8046684,-121.5311661,6.52,3.39,ml,58,41,0.02618,0.16,nc,nc73480551,2020-11-13T03:21:11.871Z,"5km S of San Juan Bautista, CA",earthquake,0.23,0.59,0.215,28,automatic,nc,nc
2020-11-10T21:17:16.340Z,37.6395,-119.3993333,6.74,2.72,md,45,56,0.2541,0.16,nc,nc73480236,2020-11-11T00:55:05.563Z,"19km SE of Yosemite Valley, CA",earthquake,0.38,2.17,0.209,48,reviewed,nc,nc
2020-11-10T18:34:20.860Z,37.6408348,-119.3925018,13.36,2.89,md,26,139,0.2487,0.12,nc,nc73480171,2020-11-11T02:26:07.581Z,"20km SE of Yosemite Valley, CA",earthquake,0.5,1.7,0.17,26,automatic,nc,nc
2020-11-10T18:09:58.780Z,37.6303329,-119.4083328,11.25,2.79,ml,35,136,0.2612,0.09,nc,nc73480151,2020-11-11T02:26:00.701Z,"19km SE of Yosemite Valley, CA",earthquake,0.36,1.28,0.388,17,automatic,nc,nc
2020-11-10T16:15:12.940Z,34.4075,-120.0048333,0.9,3.25,ml,41,86,0.1219,0.24,ci,ci39461591,2020-11-12T21:32:21.856Z,"13km W of Isla Vista, CA",earthquake,0.21,0.41,0.111,94,reviewed,ci,ci
2020-11-10T15:28:30.030Z,40.4129982,-123.8590012,29.55,2.97,md,20,99,0.03222,0.14,nc,nc73480086,2020-11-10T21:45:51.321Z,"23km ESE of Rio Dell, CA",earthquake,0.56,1.29,0.12,31,automatic,nc,nc
2020-11-10T06:04:09.190Z,39.4080009,-121.2294998,0.59,2.64,md,24,59,0.2049,0.23,nc,nc73480016,2020-11-12T15:57:44.492Z,"7km SSE of Challenge-Brownsville, CA",earthquake,0.51,8.44,0.21,19,automatic,nc,nc
2020-11-10T03:17:37.588Z,38.1246,-118.0783,5,2.5,ml,31,71.79,0.041,0.1717,nn,nn00782477,2020-11-10T16:46:13.491Z,"California-Nevada border region",earthquake,,1.4,0.3,16,reviewed,nn,nn
2020-11-10T01:44:21.223Z,38.1561,-117.8968,5.5,2.7,ml,18,65.66,0.02,0.1389,nn,nn00782464,2020-11-10T16:49:31.624Z,"31 km SE of Mina, Nevada",earthquake,,0.7,0.28,14,reviewed,nn,nn
2020-11-09T22:24:51.147Z,38.1537,-117.8933,8.3,2.8,ml,28,44.75,0.017,0.1404,nn,nn00782438,2020-11-10T02:27:28.219Z,"32 km SE of Mina, Nevada",earthquake,,0.5,0.23,15,reviewed,nn,nn
2020-11-09T15:25:42.200Z,35.9788333,-117.6835,2,2.81,ml,42,39,0.04092,0.15,ci,ci39460711,2020-11-10T01:07:27.010Z,"21km ENE of Little Lake, CA",earthquake,0.14,0.2,0.219,26,reviewed,ci,ci
2020-11-09T15:22:10.350Z,35.9793333,-117.682,1.81,3.1,ml,48,40,0.04052,0.17,ci,ci39460703,2020-11-09T21:41:39.040Z,"21km ENE of Little Lake, CA",earthquake,0.14,0.21,0.181,211,reviewed,ci,ci
2020-11-09T12:45:09.750Z,36.0186653,-120.5680008,4.13,2.58,md,17,151,0.02707,0.04,nc,nc73479756,2020-11-09T15:50:21.541Z,"18km NW of Parkfield, CA",earthquake,0.36,0.33,0.23,21,automatic,nc,nc
2020-11-09T08:13:22.984Z,38.1601,-117.8858,8.3,2.7,ml,31,41.09,0.011,0.1638,nn,nn00782364,2020-11-11T08:44:31.040Z,"32 km SE of Mina, Nevada",earthquake,,0.6,0.28,16,reviewed,nn,nn
2020-11-08T21:49:23.400Z,36.6565018,-121.2776642,4.67,2.78,md,44,66,0.05087,0.12,nc,nc73479561,2020-11-09T15:49:59.807Z,"15km SSE of Tres Pinos, CA",earthquake,0.19,0.82,0.18,49,automatic,nc,nc
2020-11-08T20:48:41.500Z,37.6351662,-119.4046631,13.56,2.67,md,22,117,0.2735,0.09,nc,nc73479546,2020-11-08T22:05:05.241Z,"19km SE of Yosemite Valley, CA",earthquake,0.46,1.36,0.22,18,automatic,nc,nc
2020-11-08T20:36:34.480Z,37.6388333,-119.403,10.07,2.5,md,27,61,0.2719,0.08,nc,nc73479541,2020-11-08T22:35:05.433Z,"19km SE of Yosemite Valley, CA",earthquake,0.34,1.81,0.172,25,reviewed,nc,nc
2020-11-08T10:04:47.117Z,38.18,-117.8036,10,3.1,ml,34,59.23,0.056,0.1902,nn,nn00782277,2020-11-09T02:26:42.633Z,"35 km SE of Mina, Nevada",earthquake,,0.7,0.27,19,reviewed,nn,nn
