mag,Closest City,mag 0-2.5,mag 2.5-3,mag 3-4,mag 4+,Period (days),Freq (events/day),Average Depth,Max Depth,label
5.8,Lone Pine,2,8,9,2,21.09,1.04,3.53,7.4,Small
5.53,Ridgecrest CA,0,5,7,0,26.20599537,0.49606969,10.52307692,8.96,Small
6.5,Hawthorne NV,0,1,0,0,15.30699074,0.130659255,73.85,10.9,Small
5.5,Ridgecrest CA,3,152,209,58,29.98800926,14.1056379,6.022245863,15.82,Big
7.1,Ridgecrest CA,3,151,127,22,29.96856481,10.14396258,13.41773026,15.82,Small
6.4,Ridgecrest CA,0,2,2,0,29.00988426,0.172355048,819.468,15.82,Small
5.5,Hawthorne NV,6,5,7,2,14.58412037,1.43992229,204.9066667,15.82,Big
5.6,Hawthorne NV,0,0,1,1,14.54829861,0.20620968,1441.213333,15.82,Small
5.6,Hawthorne NV,0,0,1,0,14.54539352,0.137500577,2166.47,15.82,Small
6.02,Napa,0,2,1,0,22.22368056,0.179988188,1091.90675,16.559,Small
5.69,Lake Amanor CA,0,2,0,0,15.59518519,0.192367065,1458.65,16.559,Small
5.6,Eureka CA,0,1,0,0,26.48077546,0.075526489,2200.8615,25.773,Small
5.71,El Centro CA,3,78,23,8,29.48396991,3.832591078,46.60082301,25.773,Small
5.9,Jarbridge NV,0,0,0,0,,,,,Small
5.97,Avenal CA,0,4,2,0,26.88706019,0.260348285,756.2677143,25.773,Small
6.5,King City NV,0,0,0,0,,,,,Small
5.6,San Bernardino,1,4,0,1,26.12278935,0.267965258,759.4672857,25.773,Small
5.77,Twenty Nine Palms,1,7,1,6,18.10737269,0.883617976,335.066125,25.773,Small
7.1,Twenty Nine Palms,0,6,1,0,18.09844907,0.442026826,670.967875,25.773,Small
5.94,Bonne Claire NV,1,3,2,0,0.492430556,14.21520237,771.4332857,25.773,Small
5.5,Bishop,0,5,4,0,29.40759259,0.340048236,543.9859,25.773,Big
5.75,Ridgecrest CA,0,20,5,2,28.64594907,0.977450596,198.524,25.773,Small
5.7,Topaz Lake NV,0,2,0,0,29.87591435,0.100415337,1853.648,25.773,Small
5.58,Santa Clarita,8,92,122,18,8.022592593,30.04016435,28.50827386,25.773,Small
5.89,San Fernando,1,0,5,1,7.56318287,1.057755728,867.715625,25.773,Small
6.7,San Fernando,1,0,4,0,7.562453704,0.793393287,1162.405333,25.773,Small
6.1,Lone Pine,0,0,0,0,,,,,Small
5.67,Ridgecrest CA,0,3,0,0,19.87321759,0.201275912,1746.3275,25.773,Small
5.69,Palm Springs,109,172,189,52,29.9421412,17.46702069,16.32279541,25.773,Small
6.3,San Bernardino,3,37,25,24,28.17516204,3.194302836,97.35325556,25.773,Small
5.53,Hemet,3,34,21,21,28.15978009,2.840931276,111.6027375,25.773,Small
5.7,Twenty Nine Palms,3,34,12,3,28.85369213,1.836853314,169.7596038,25.773,Small
5.77,Palm Springs,3,34,13,2,28.85333333,1.836876155,171.072717,25.773,Small
7.3,Twenty Nine Palms,3,34,13,1,28.85112269,1.802356205,175.7028077,25.773,Small
7.2,Eureka CA,1,0,2,0,1.800902778,2.22110824,2296.55875,28.997,Small
