,Prediction,Actual
0,small,small
1,small,small
2,small,small
3,small,small
4,small,small
5,small,small
6,small,small
7,small,small
8,small,small
9,small,small
10,small,small
11,small,small
12,small,small
13,small,small
14,small,small
15,small,small
16,small,small
17,small,small
18,small,small
19,small,small
20,small,small
21,small,small
22,small,small
23,small,small
24,small,small
25,small,small
26,small,small
27,small,small
28,small,small
29,small,small
30,small,small
31,small,small
32,small,small
33,small,small
34,small,small
35,small,small
36,small,small
37,small,small
38,small,small
39,small,small
40,small,small
41,small,small
42,small,small
43,small,small
44,small,small
45,small,small
46,small,small
47,small,small
48,small,small
49,small,small
50,small,small
51,small,small
52,small,small
53,small,small
54,small,small
55,small,small
56,small,small
57,small,small
58,small,small
59,small,small
60,small,small
61,small,small
62,small,small
63,small,small
64,small,small
65,small,small
66,small,small
67,small,small
68,small,small
69,small,small
70,small,small
71,small,small
72,small,small
73,small,small
74,small,small
75,small,small
76,small,small
77,small,small
78,small,small
79,small,small
80,small,small
81,small,small
82,small,small
83,small,small
84,small,small
85,small,small
86,small,small
87,small,small
88,small,small
89,small,small
90,small,small
91,small,small
92,small,small
93,small,small
94,small,small
95,small,small
96,small,small
97,small,small
98,small,small
99,small,small
100,small,small
101,small,small
102,small,small
103,small,small
104,small,small
105,small,small
106,small,small
107,small,small
108,small,small
109,small,small
110,small,small
111,small,small
112,small,small
113,small,small
114,small,small
115,small,small
116,small,small
117,small,small
118,small,small
119,small,small
120,small,small
121,small,small
122,small,small
123,small,small
124,small,small
125,small,small
126,small,small
127,small,small
128,small,small
129,small,small
130,small,small
131,small,small
132,small,small
133,small,small
134,small,small
135,small,small
136,small,small
137,small,small
138,small,small
139,small,small
140,small,small
141,small,small
142,small,small
143,small,small
144,small,small
145,small,small
146,small,small
147,big,big
148,small,small
149,small,small
150,small,small
151,small,small
152,small,small
153,small,small
154,small,small
155,small,small
156,small,small
157,small,small
158,small,small
159,small,small
160,small,small
161,small,small
162,small,small
163,small,small
164,small,small
165,small,small
166,small,small
167,small,small
168,small,small
169,small,small
170,small,small
171,small,small
172,small,small
173,small,small
174,small,small
175,small,small
176,small,small
177,small,small
178,small,small
179,small,small
180,small,small
181,small,small
182,small,small
183,small,small
184,small,small
185,small,small
186,small,small
187,small,small
188,small,small
189,small,small
190,small,small
191,small,small
192,small,small
193,small,small
194,small,small
195,small,small
196,small,small
197,small,small
198,small,small
199,small,small
200,small,small
201,small,small
202,small,small
203,small,small
204,small,small
205,small,small
206,small,small
207,small,small
208,small,small
209,small,small
210,small,small
211,small,small
212,small,small
213,small,small
214,small,small
215,small,small
216,small,small
217,small,small
218,small,small
219,small,small
220,small,small
221,small,small
222,small,small
223,small,small
224,small,small
225,small,small
226,small,small
227,small,small
228,small,small
229,small,small
230,small,small
231,small,small
232,small,small
233,small,small
234,small,small
235,small,small
236,small,small
237,small,small
238,small,small
239,small,small
240,small,small
241,small,small
242,small,small
243,small,small
244,small,small
245,small,small
246,small,small
247,small,small
248,small,small
249,small,small
250,small,small
251,small,small
252,small,small
253,small,small
254,small,small
255,small,small
256,small,small
257,small,small
258,small,small
259,small,small
260,small,small
261,small,small
262,small,small
263,small,small
264,small,small
265,small,small
266,small,small
267,small,small
268,small,small
269,small,small
270,small,small
271,small,small
272,small,small
273,small,small
274,small,small
275,small,small
276,small,small
277,small,small
278,small,small
279,small,small
280,small,small
281,small,small
282,small,small
283,small,small
284,small,small
285,small,small
286,small,small
287,small,small
288,small,small
289,small,small
290,small,small
291,small,small
292,small,small
293,small,small
294,small,small
295,small,small
296,small,small
297,small,small
298,small,small
299,small,small
300,small,small
301,small,small
302,small,small
303,small,small
304,small,small
305,small,small
306,small,small
307,small,small
308,small,small
309,small,small
310,small,small
311,small,small
312,small,small
313,small,small
314,small,small
315,small,small
316,small,small
317,small,small
318,small,small
319,small,small
320,small,small
321,small,small
322,small,small
323,small,small
324,small,small
325,small,small
326,small,small
327,small,small
328,small,small
329,small,small
330,small,small
331,small,small
332,small,small
333,small,small
334,small,small
335,small,small
336,small,small
337,small,small
338,small,small
339,small,small
340,small,small
341,small,small
342,small,small
343,small,small
344,small,small
345,small,small
346,small,small
347,small,small
348,small,small
349,small,small
350,small,small
351,small,small
352,small,small
353,small,small
354,small,small
355,small,small
356,small,small
357,small,small
358,small,small
359,small,small
360,small,small
361,small,small
362,small,small
363,small,small
364,small,small
365,small,small
366,small,small
367,small,small
368,small,small
369,small,small
370,small,small
371,small,small
372,small,small
373,small,small
374,small,small
375,small,small
376,small,small
377,small,small
378,small,small
379,small,small
380,small,small
381,small,small
382,small,small
383,small,small
384,small,small
385,small,small
386,small,small
387,small,small
388,small,small
389,small,small
390,small,small
391,small,small
392,small,small
393,small,small
394,small,small
395,small,small
396,small,small
397,small,small
398,small,small
399,small,small
400,small,small
401,small,small
402,small,small
403,small,small
404,small,small
405,small,small
406,small,small
407,small,small
408,small,small
409,small,small
410,small,small
411,small,small
412,small,small
413,small,small
414,small,small
415,small,small
416,small,small
417,small,small
